     1     1  0.9833382177E-04  0.9833382177E-04  0.7033884686E-04  0.7033884686E-04
     1     2  0.9003827892E-05  0.9075737893E-05  0.8920109504E-05  0.9198309770E-05
     1     3  0.8605172189E-05  0.8715865821E-05  0.8461999722E-05  0.8961647484E-05
     1     4  0.1059337998E-04  0.1065175124E-04  0.1036687274E-04  0.1077465890E-04
     1     5  0.8449712708E-05  0.8498557837E-05  0.8321633305E-05  0.8723320606E-05
     1     6  0.1032926619E-04  0.1036074503E-04  0.1032634606E-04  0.1047439703E-04
     1     7  0.1018068826E-04  0.1033105649E-04  0.9784050945E-05  0.1052841246E-04
     1     8  0.9114066942E-05  0.9270461864E-05  0.8701663390E-05  0.9445347082E-05
     1     9  0.8540608678E-05  0.8739069849E-05  0.8241911855E-05  0.9036732380E-05
     1    10  0.1285613930E-04  0.1415472990E-04  0.1113810401E-04  0.1508765433E-04
